Block_Index,Message,HashTime_uS,VerifyTime_uS,PrevHash_OK,Valid
439,"t=22.97,h=36.73,p=1011.89",63,2,True,True
440,"t=22.97,h=36.73,p=1011.89",61,2,True,True
441,"t=22.97,h=36.73,p=1011.89",62,3,True,True
442,"t=22.97,h=36.73,p=1011.89",61,2,True,True
443,"t=22.97,h=36.73,p=1011.89",62,28,True,True
444,"t=22.97,h=36.73,p=1011.89",85,7,True,True
445,"t=22.97,h=36.73,p=1011.89",62,7,True,True
446,"t=22.97,h=36.73,p=1011.89",61,8,True,True
447,"t=22.97,h=36.73,p=1011.89",62,6,True,True
448,"t=22.97,h=36.78,p=1011.90",61,6,True,True
449,"t=22.97,h=36.78,p=1011.90",63,32,True,True
450,"t=22.97,h=36.78,p=1011.90",63,5,True,True
451,"t=22.97,h=36.78,p=1011.90",62,7,True,True
452,"t=22.97,h=36.78,p=1011.90",61,2,True,True
453,"t=22.97,h=36.78,p=1011.90",63,2,True,True
454,"t=22.97,h=36.78,p=1011.90",61,17,True,True
455,"t=22.97,h=36.78,p=1011.90",63,3,True,True
456,"t=22.97,h=36.78,p=1011.90",62,3,True,True
457,"t=22.97,h=36.78,p=1011.90",62,2,True,True
458,"t=22.97,h=36.73,p=1011.88",61,2,True,True
459,"t=22.97,h=36.73,p=1011.88",62,2,True,True
460,"t=22.97,h=36.73,p=1011.88",61,2,True,True
