Chunk_ID,Size_Bytes,DeviceTime_uS,HashTime_uS,VerifyTime_uS,CID_Valid,Published
437,25,443,55992.00,55199.20,True,True
438,25,449,54825.20,55885.80,True,True
439,25,445,55250.10,54903.30,True,True
440,25,465,56125.00,56568.20,True,True
441,25,441,55606.80,53437.30,True,True
442,25,449,56881.70,54779.80,True,True
443,25,442,56319.30,54445.80,True,True
444,25,459,54797.00,52347.70,True,True
445,25,443,54887.90,53864.50,True,True
446,25,448,55474.00,54237.20,True,True
447,25,442,55671.80,55512.30,True,True
448,25,452,56116.20,55068.50,True,True
449,25,445,57471.00,54895.80,True,True
450,25,448,54275.70,54509.70,True,True
451,25,443,54742.90,54825.80,True,True
452,25,465,53264.10,54657.20,True,True
453,25,451,54530.60,54674.70,True,True
454,25,446,54666.40,54656.20,True,True
455,25,444,55470.80,53075.00,True,True
456,25,448,55990.80,55500.20,True,True
457,25,441,54031.50,54874.90,True,True
458,25,457,54004.20,53371.10,True,True
459,25,442,57215.90,54724.70,True,True
460,25,447,55401.50,55196.40,True,True
461,25,440,55876.40,53864.50,True,True
462,25,447,55399.10,55758.10,True,True
463,25,452,54024.20,53844.00,True,True
464,25,447,54584.30,55330.90,True,True
465,25,441,55656.10,56303.10,True,True
466,25,466,57533.10,56082.40,True,True
467,25,444,56989.20,54825.30,True,True
468,25,448,55740.20,57783.00,True,True
469,25,445,54734.60,54356.90,True,True
470,25,447,55780.30,56057.70,True,True
471,25,452,53679.60,53714.00,True,True
472,25,448,53408.60,54211.50,True,True
473,25,444,56873.00,54913.40,True,True
474,25,448,54341.00,53908.00,True,True
475,25,442,55032.40,54743.50,True,True
476,25,446,55820.30,53744.60,True,True
477,25,442,54698.90,53844.10,True,True
478,25,454,55671.90,54611.40,True,True
479,25,442,53666.50,54299.20,True,True
480,25,458,56066.30,55764.30,True,True
481,25,441,54477.60,57381.50,True,True
482,25,448,54647.20,56865.10,True,True
483,25,442,55889.90,56362.30,True,True
484,25,448,54937.70,56565.90,True,True
485,25,444,55095.60,55760.20,True,True
486,25,446,55319.70,54331.30,True,True
487,25,441,55478.40,55795.30,True,True
488,25,449,57190.20,57759.80,True,True
489,25,442,57468.20,55221.70,True,True
490,25,449,56387.50,54498.00,True,True
491,25,453,54998.70,55229.30,True,True
492,25,449,53677.40,56326.20,True,True
493,25,442,54386.40,55099.70,True,True
494,25,447,55373.00,55263.40,True,True
495,25,444,54941.10,54210.10,True,True
496,25,448,53153.20,54267.10,True,True
497,25,477,53175.20,54080.10,True,True
498,25,449,53941.40,53853.60,True,True
499,25,451,55163.70,55287.20,True,True
500,25,450,53640.50,56602.60,True,True
501,25,443,59285.50,58130.00,True,True
502,25,449,54135.70,54124.40,True,True
503,25,443,56717.40,56076.40,True,True
504,25,449,53044.70,54584.20,True,True
505,25,443,55676.40,55543.50,True,True
506,25,449,53666.90,56256.40,True,True
507,25,443,54213.70,56203.70,True,True
508,25,448,56915.70,57367.30,True,True
509,25,453,55324.90,55510.20,True,True
510,25,448,56343.70,55559.90,True,True
511,25,442,55106.10,56651.60,True,True
512,25,448,57899.50,57288.90,True,True
513,25,442,56533.80,55117.20,True,True
514,25,450,53312.30,55993.60,True,True
515,25,514,54172.00,58240.90,True,True
516,25,443,54581.60,55227.00,True,True
517,25,441,55063.50,54789.60,True,True
518,25,457,53791.00,54249.80,True,True
519,25,445,53100.50,55855.10,True,True
520,25,448,54609.90,56740.10,True,True
521,25,442,54037.60,53240.40,True,True
522,25,446,54562.60,54802.80,True,True
523,25,441,53649.90,55108.10,True,True
524,25,448,55123.00,55092.10,True,True
525,25,441,55367.20,54913.00,True,True
526,25,448,55541.90,54595.80,True,True
527,25,453,52454.00,56379.70,True,True
528,25,449,55735.70,55090.00,True,True
529,25,445,56159.00,53363.80,True,True
530,25,448,53690.50,54176.10,True,True
531,25,442,54410.80,55079.60,True,True
532,25,458,57191.40,53808.50,True,True
533,25,442,52901.90,57720.00,True,True
534,25,449,55192.80,58840.30,True,True
535,25,478,53440.10,58899.40,True,True
536,25,448,55688.50,55892.80,True,True
537,25,442,55148.90,55849.00,True,True
538,25,449,56040.20,54727.70,True,True
539,25,442,52661.60,55422.20,True,True
540,25,448,52287.20,57742.30,True,True
541,25,442,52968.10,55501.30,True,True
542,25,449,55470.60,57070.30,True,True
543,25,441,53124.60,55667.90,True,True
544,25,447,55729.40,56558.90,True,True
545,25,443,54927.90,54499.10,True,True
546,25,447,55262.50,55900.10,True,True
547,25,442,57804.90,55232.90,True,True
548,25,449,52587.40,57336.20,True,True
549,25,443,54940.90,54034.00,True,True
550,25,445,56354.60,56404.80,True,True
551,25,439,55139.20,55035.90,True,True
552,25,445,55590.50,53441.30,True,True
553,25,439,56731.30,56015.90,True,True
554,25,445,55914.50,53982.60,True,True
555,25,447,55692.70,57300.80,True,True
556,25,444,54516.30,54510.10,True,True
557,25,439,54666.70,55677.00,True,True
558,25,444,55556.10,55489.50,True,True
559,25,441,54916.60,54488.50,True,True
560,25,447,55086.40,54839.70,True,True
561,25,494,52815.20,55078.80,True,True
562,25,447,52867.10,55488.10,True,True
563,25,441,53212.60,53779.10,True,True
564,25,459,58102.00,53175.10,True,True
565,25,441,56035.40,54366.40,True,True
566,25,449,54115.30,54226.10,True,True
567,25,443,54305.40,54672.10,True,True
568,25,448,54791.60,55942.20,True,True
569,25,442,56272.80,54630.10,True,True
570,25,447,54852.00,57596.80,True,True
571,25,441,55072.70,57897.80,True,True
572,25,448,54704.90,56575.40,True,True
573,25,450,56622.70,55592.90,True,True
574,25,447,57528.30,54257.10,True,True
575,25,441,54031.60,55838.70,True,True
576,25,448,54985.20,55753.10,True,True
577,25,448,54579.80,55620.10,True,True
578,25,463,56093.50,56755.30,True,True
579,25,441,54588.30,54683.90,True,True
580,25,448,54118.80,54492.40,True,True
581,25,444,55498.30,56162.50,True,True
582,25,448,52188.70,54921.10,True,True
583,25,441,53228.90,55491.60,True,True
584,25,463,54635.90,54124.90,True,True
585,25,442,54481.40,55872.90,True,True
586,25,448,54587.70,55697.80,True,True
587,25,441,54915.40,57688.60,True,True
588,25,448,54081.10,55615.80,True,True
589,25,446,55093.90,54304.90,True,True
590,25,448,56442.00,55958.40,True,True
591,25,441,56747.90,54481.30,True,True
592,25,457,57757.10,55502.60,True,True
593,25,442,56865.90,55547.50,True,True
594,25,448,53878.40,55353.10,True,True
